nome_arquivo,hash_origem,hash_destino,status
OUT_TJS330-002.bqrecal.bam,,c32e2989560620d140666716dd31bfb6,Diferente
OUT_TJS330-002.bqrecal.bam.bai,,07a8469daab0efae9d2c7c5e46bfaf42,Diferente
TOL588-001.bam.bai,,bd6c0500547b4e46663cd839ea3cf3f5,Diferente
TOL588-002.bam,,6fa014ca4151480c03dc244d15740510,Diferente
TOL588-002.bam.bai,,593023ac3f8e5fcdf471caec32e8a110,Diferente
OUT_UIC630-001.bqrecal.bam,,71b49b4e213c18739e2cf3118d92f084,Diferente
OUT_UIC630-001.bqrecal.bam.bai,,85a8827838f2e973ffa5b0700d885c92,Diferente
OUT_UIC630-002.bqrecal.bam,,35a87dd7ce659e619874758433a5c46b,Diferente
OUT_UIC630-002.bqrecal.bam.bai,,488f4a8dc413fa574c6279ad28da7a36,Diferente
OUT_UOD272-001.bqrecal.bam,,4acf69553ae34fa414ec2d24352e2ce6,Diferente
OUT_UOD272-001.bqrecal.bam.bai,,9636667169dabd52ed0af11c28dcc464,Diferente
OUT_UOD272-002.bqrecal.bam,,add24ee941d2aba5f68c8021791d3720,Diferente
OUT_UOD272-002.bqrecal.bam.bai,,943b70c49d59f6e6f03ccc11a0e803ed,Diferente
OUT_YDU591-002.bqrecal.bam,,fe694176d2b666053c787787974614aa,Diferente
OUT_YZO630-001.bqrecal.bam,,c64828838ae254aba0757a34288a1c3f,Diferente
OUT_YZO630-001.bqrecal.bam.bai,,3b3d0dac23337eea3c876904cf64b7d7,Diferente
OUT_YZO630-002.bqrecal.bam,,31121316dada3e01c30129f7f1cec5c7,Diferente
OUT_YZO630-002.bqrecal.bam.bai,,1b37ce9a88edd81549c26b898c09ee52,Diferente
URS549-001.bam,,b4893bd7fd4ebe719f7d28f21e55b33c,Diferente
URS549-001.bam.bai,,ccf72cf0446f121f34532727367915c7,Diferente
URS549-002.bam,,b564d0585140213f221508cb53132f4b,Diferente
URS549-002.bam.bai,,a979b38afccfd607a17b138fd0f1bcef,Diferente
USG431-001.bam,,e04848137d6b462eb59599a6632d3ce9,Diferente
USG431-001.bam.bai,,31c2e809f87ba876d77aa6081dd176c6,Diferente
USG431-002.bam,,0aaecf4e2140dd55124e8fe94e928552,Diferente
USG431-002.bam.bai,,af753522349e28a2b0954475489b71d7,Diferente
WTI996-001.bam,,0716455673ba442d0d4a3907edf7ec82,Diferente
WTI996-001.bam.bai,,2e0495d94408ca9d4e1d1df941b1a57a,Diferente
WTI996-002.bam,,85990d21895f265f25128a52206efed3,Diferente
WTI996-002.bam.bai,,4b37a5bc8e21158f87f9a30df37b8ba1,Diferente
XCU650-001.bam,,0a0fb17c636df5946f3f430825c8c9d7,Diferente
XCU650-001.bam.bai,,4eb25df035daf817181296285fe80931,Diferente
XCU650-002.bam,,7c103c816603d42c00042bd55dfcffb0,Diferente
XCU650-002.bam.bai,,94d748d92b5d7499afebbdc395ef3524,Diferente
YAK486-001.bam,,bc148de10ffe528fd297b8825562f91c,Diferente
YAK486-001.bam.bai,,535724d23e800500a7608823ee77ee3b,Diferente
YAK486-002.bam,,4608a6dbe128829fbc5af3d1fa47a3c9,Diferente
YAK486-002.bam.bai,,9c2826d53c578302ffbeba5ad3e54fc3,Diferente
YDU591-001.bam,,9bd1332388accc31f56e06cec60bfeb2,Diferente
YDU591-001.bam.bai,,bd6ff8ec274f067de145ecff63f2b55d,Diferente
YEP944-001.bam,,b6a46aefbebdb9bddccdfedc0c8333d2,Diferente
YEP944-001.bam.bai,,f165c3c363f626dced045ccc5766929d,Diferente
YEP944-002.bam,,771732dd79c28570f45663e447a21570,Diferente
YEP944-002.bam.bai,,e5e844f24e2b0f38d69a640df0811cb4,Diferente
AIA616-001.bam,,31da1c616470e85050c30514f610ff3b,Diferente
AIA616-001.bam.bai,,ca73bc00b90ec5338b3d02be4f573914,Diferente
AIA616-002.bam,,61531681c859fa01eb940c2db09ea567,Diferente
AIA616-002.bam.bai,,dd4d3ad740f53388abb30339207ecc30,Diferente
